iter	RMSE
0	295.7828333
1	293.6912045
2	291.7771771
3	290.0674074
4	288.5578762
5	287.1002577
6	285.8119444
7	284.6737699
8	283.6094072
9	282.9162963
10	282.0624317
11	281.2402639
12	280.4295108
13	279.7763283
14	279.4017427
15	278.8038564
16	278.4217643
17	278.0030442
18	277.9185623
19	277.3591053
20	277.0073204
21	276.5249614
22	276.5204109
23	274.201591
24	274.189141
25	274.1868719
26	273.965603
27	271.8394758
28	271.8331604
29	271.6422603
30	271.6344002
31	271.2127726
32	271.0505066
33	271.0443837
34	271.0256089
35	270.8343043
36	269.8860878
37	269.809628
38	269.637844
39	269.3541792
40	269.1562969
41	269.125029
42	268.9972041
43	268.5471937
44	268.5454273
45	268.5399952
46	268.5349842
47	268.534591
48	268.3139634
49	268.2695672
50	268.2444779
51	267.6263472
52	267.4902145
53	266.9348491
54	266.4280097
55	266.4257555
56	266.3530295
57	266.3126969
58	266.2899641
59	266.2852509
60	266.2697813
61	265.2153869
62	265.1515711
63	265.1506142
64	265.112523
65	265.1034083
66	265.0990292
67	263.4346478
68	262.9587932
69	262.6342143
70	262.6302389
71	262.1580042
72	262.1564595
73	262.0857068
74	262.0562764
75	261.7639195
76	261.6927302
77	261.6871
78	261.1217498
79	261.064092
80	261.0629323
81	260.9986803
82	260.661681
83	260.6554417
84	260.5880609
85	260.4687909
86	260.4421139
87	260.4172074
88	260.4144517
89	260.4129536
90	260.3560584
91	259.9990712
92	259.8470444
93	259.7734045
94	259.7179394
95	259.7177968
96	259.6922453
97	259.6371334
98	259.632629
99	259.5963892
100	259.2458433
101	259.241055
102	259.1853477
103	259.1750351
104	259.1416484
105	259.138822
106	258.6107121
107	257.6849115
108	257.6308058
109	257.5208884
110	257.470428
111	257.4687735
112	257.4580502
113	257.4374793
114	257.4106531
115	257.39811
116	257.3707727
117	257.3667206
118	257.3322225
119	257.2927413
120	256.9844699
121	256.3216859
122	256.3035076
123	255.7193588
124	255.1182846
125	255.1072037
126	254.8534973
127	254.6975403
128	254.657274
129	254.649768
130	254.6197747
131	254.6145273
132	254.5986115
133	254.5551598
134	254.2375285
135	254.2234623
136	254.2102166
137	254.2035816
138	254.1952006
139	253.6645801
140	253.6308452
141	253.6295764
142	253.6015677
143	253.5865192
144	253.4834025
145	253.0715562
146	253.0653724
147	252.9090886
148	252.9069209
149	252.888592
150	252.8654496
151	252.3963848
152	252.3904845
153	252.359225
154	252.3363526
155	251.9229754
156	251.907453
157	251.5699977
158	251.480302
159	251.4539252
160	251.4317956
161	251.4273651
162	251.4260733
163	251.4158583
164	251.4070212
165	250.9599484
166	250.4634086
167	248.6903691
168	248.6872656
169	248.3169291
170	248.310139
