iter	Passed	Remaining
0	38	38234
1	67	33806
2	95	31662
3	123	30677
4	151	30068
5	181	30078
6	211	30057
7	243	30154
8	274	30276
9	316	31359
10	346	31186
11	374	30828
12	407	30921
13	438	30885
14	471	30937
15	506	31176
16	542	31396
17	579	31600
18	626	32330
19	702	34430
20	783	36503
21	840	37354
22	882	37475
23	917	37302
24	948	36994
25	981	36780
26	1021	36794
27	1075	37337
28	1161	38880
29	1223	39547
30	1259	39364
31	1291	39059
32	1323	38770
33	1354	38496
34	1388	38277
35	1422	38098
36	1472	38313
37	1515	38354
38	1553	38269
39	1586	38080
40	1615	37794
41	1646	37553
42	1678	37345
43	1711	37191
44	1740	36944
45	1787	37061
46	1866	37836
47	1936	38399
48	1970	38248
49	2003	38065
50	2038	37925
51	2073	37808
52	2115	37799
53	2148	37630
54	2185	37547
55	2218	37397
56	2248	37203
57	2279	37023
58	2311	36859
59	2343	36719
60	2375	36568
61	2408	36444
62	2445	36367
63	2482	36304
64	2518	36220
65	2599	36792
66	2676	37266
67	2744	37617
68	2786	37603
69	2819	37452
70	2848	37274
71	2878	37106
72	2907	36923
73	2936	36745
74	2967	36594
75	2997	36446
76	3029	36313
77	3058	36158
78	3088	36006
79	3119	35879
80	3158	35832
81	3188	35694
82	3219	35574
83	3254	35487
84	3284	35351
85	3314	35228
86	3344	35099
87	3376	34988
88	3404	34847
89	3429	34680
90	3459	34561
91	3495	34494
92	3530	34427
93	3561	34326
94	3590	34204
95	3610	34002
96	3643	33917
97	3674	33824
98	3709	33763
99	3739	33652
100	3768	33542
101	3795	33418
102	3822	33288
103	3852	33186
104	3880	33078
105	3908	32960
106	3940	32887
107	3973	32817
108	4004	32732
109	4035	32652
110	4069	32594
111	4114	32618
112	4145	32541
113	4174	32445
114	4205	32366
115	4234	32270
116	4265	32193
117	4296	32112
118	4325	32023
119	4372	32061
120	4454	32359
121	4531	32608
122	4567	32568
123	4614	32596
124	4647	32529
125	4679	32457
126	4712	32393
127	4745	32327
128	4771	32216
129	4801	32131
130	4830	32041
131	4857	31943
132	4898	31930
133	4950	31991
134	5022	32178
135	5098	32387
136	5149	32439
137	5227	32651
138	5316	32933
139	5397	33156
140	5452	33215
141	5512	33305
142	5567	33367
143	5627	33453
144	5680	33493
145	5740	33576
146	5796	33633
147	5852	33693
148	5905	33730
149	5961	33780
150	6019	33846
151	6088	33966
152	6148	34039
153	6188	33998
154	6223	33930
155	6284	34000
156	6371	34213
157	6452	34387
158	6538	34583
159	6595	34626
160	6630	34553
